,imp_surf,building,low_veg,tree,car,clutter
imp_surf,32407.0,1465.0,3765.0,997.0,91.0,29.0
building,1787.0,31243.0,748.0,339.0,19.0,6.0
low_veg,2400.0,945.0,17917.0,3568.0,13.0,5.0
tree,627.0,349.0,5501.0,39878.0,9.0,0.0
car,849.0,86.0,72.0,31.0,327.0,10.0
clutter,1081.0,90.0,69.0,68.0,3.0,3239.0
Precision,0.8277438635028479,0.9141260459944994,0.6382516386434882,0.8885274392281812,0.7077922077922078,0.9847978108847674
Recall,0.8362233575888941,0.9150899185753617,0.7210640695428203,0.8601069795531016,0.23781818181818182,0.7118681318681319
F1,0.8319620050060972,0.9146077283372366,0.67713529856387,0.8740862513014412,0.35601524224278713,0.8263809159331549
Support,38754.0,34142.0,24848.0,46364.0,1375.0,4550.0
0.833223357528